MifElapsed;MifToNorm;NormalElapsed;NormToMif
0.03;4.76190476190476e-05;630.0;21000.0
0.03;4.76190476190476e-05;630.0;21000.0
0.17;0.000992121388969945;171.35;1007.94117647059
0.37;0.973684210526316;0.38;1.02702702702703
0.46;0.901960784313726;0.51;1.10869565217391
0.02;1.0;0.02;1.0
0.02;1.0;0.02;1.0
0.02;1.0;0.02;1.0
0.03;1.0;0.03;1.0
0.14;1.0;0.14;1.0
0.2;1.0;0.2;1.0
0.31;0.96875;0.32;1.03225806451613
5.49;0.00913416744309863;601.04;109.479052823315
8.27;0.98805256869773;8.37;1.01209189842805
630.0;1.0;630.0;1.0
630.0;1.0;630.0;1.0
630.0;1.0;630.0;1.0
630.0;1.0;630.0;1.0
630.0;1.0;630.0;1.0
0.09;1.0;0.09;1.0
0.09;1.0;0.09;1.0
0.09;0.818181818181818;0.11;1.22222222222222
0.09;1.0;0.09;1.0
0.24;0.857142857142857;0.28;1.16666666666667
0.57;1.09615384615385;0.52;0.912280701754386
16.18;0.958530805687204;16.88;1.04326328800989
1.7;0.446194225721785;3.81;2.24117647058824
2.68;0.0419470965722335;63.89;23.839552238806
2.71;0.0426368785399622;63.56;23.4538745387454
3.19;0.285330948121646;11.18;3.50470219435737
4.37;1.49657534246575;2.92;0.668192219679634
4.7;0.73094867807154;6.43;1.36808510638298
538.06;1.20996649351233;444.69;0.826469167007397
4.95;0.46218487394958;10.71;2.16363636363636
37.7;5.96518987341772;6.32;0.16763925729443
62.04;10.7895652173913;5.75;0.092682140554481
66.0;10.56;6.25;0.0946969696969697
66.19;11.7566607460036;5.63;0.0850581658860855
160.29;8.2751677852349;19.37;0.120843471208435
537.5;3.18934314365395;168.53;0.313544186046512
8.38;0.0722849995687053;115.93;13.8341288782816
14.88;0.181662800634843;81.91;5.50470430107527
20.19;0.365694620539757;55.21;2.73452204061417
113.24;0.383877419573545;294.99;2.60499823383963
147.88;1.01377939260986;145.87;0.986407898295916
148.16;1.01278282862807;146.29;0.987378509719222
538.01;2.26368494130517;237.67;0.441757588148919
11.12;0.0658611703387823;168.84;15.1834532374101
11.18;0.110191208357974;101.46;9.07513416815742
19.21;0.193942453306411;99.05;5.15616866215513
26.47;0.0604613978985838;437.8;16.5394786550812
26.5;0.0604967582869144;438.04;16.5298113207547
38.12;0.0932827603083323;408.65;10.7200944386149
537.85;2.3440836783613;229.45;0.42660593102166
0.05;1.0;0.05;1.0
0.05;1.0;0.05;1.0
0.05;1.0;0.05;1.0
0.05;1.0;0.05;1.0
0.19;1.05555555555556;0.18;0.947368421052632
0.38;1.0;0.38;1.0
2.32;1.0;2.32;1.0
